Soil Moisture,temperature,Humidity,ph,rainfall,N,P,K
47,2,4.66,5.722579819,76.72860067,60,44,23
63,40,4.69,6.430616465,69.21803098,74,48,17
48,11,4.48,5.983952675,101.7004306,89,60,17
15,34,4.28,6.80163854,106.6213157,69,51,23
87,37,4.07,6.499936446,66.29390357,96,46,22
30,27,3.86,6.265564338,91.26056654,61,60,15
89,31,3.92,6.727303282,109.024141,74,58,18
28,1,3.97,6.325235159,99.57981207,74,43,23
87,1,3.88,6.807487794,71.3195307,63,43,17
41,23,3.8,6.671085817,78.34604471,99,36,20
58,42,3.72,6.648725327,88.45361858,77,36,23
73,10,3.65,6.439071996,62.50351892,87,60,23
84,2,3.51,6.474476516,76.41312437,60,38,17
90,19,3.38,5.871647806,107.3198135,94,54,17
90,44,3.75,5.730617109,100.7689246,95,38,22
29,35,4.12,5.850439831,107.2681929,84,44,21
65,5,4.32,5.791649933,101.5952794,77,58,19
70,0,4.53,6.740000688,80.72515943,66,44,20
70,32,4.85,6.272417541,83.73280082,63,35,16
6,8,5.17,5.715208817,89.9622014,79,45,20
86,1,4.87,5.773454729,88.10234397,72,60,25
90,17,4.57,5.584171461,64.77791424,67,51,24
22,32,4.49,5.787268394,73.33636055,86,36,24
7,24,4.4,5.77597783,83.21030571,76,48,18
73,32,3.99,6.864793607,103.651438,75,53,18
78,23,3.57,6.192360003,84.22969177,81,45,23
26,26,3.71,6.636803223,96.59195302,73,45,21
2,28,3.85,5.826426917,67.96704792,71,35,24
48,5,3.97,6.960358276,83.20711308,96,54,22
31,45,4.09,6.11275104,87.85092352,99,39,18
4,7,4.35,6.708446922,95.71388473,62,48,20
71,22,4.61,5.561510732,67.61013737,86,37,16
74,6,4.62,5.873242491,97.59081274,94,50,19
58,20,4.63,6.995843776,64.23845455,76,39,24
76,3,4.7,5.714799723,75.82270467,77,52,17
78,36,4.77,6.78073637,88.17251033,74,39,23
5,14,4.84,5.513697923,104.2321615,81,49,20
8,32,4.91,5.798423908,67.10225139,63,42,21
31,6,4.59,6.352471866,67.72777298,99,38,21
30,34,4.27,6.822586546,103.2234212,90,52,25
58,25,4.22,6.655426355,107.2361366,68,40,19
28,9,4.17,6.121294041,75.03247667,60,57,24
19,16,4.06,5.790770203,78.16077693,71,52,18
26,15,3.96,6.47444292,105.0083144,61,59,17
51,37,3.88,6.455116637,62.49190812,88,38,15
4,45,3.8,6.606984086,107.9124111,65,60,22
80,25,3.98,6.330554389,74.52082026,78,37,22
68,24,4.17,6.528631266,62.91359494,78,58,15
8,9,4.12,5.721667141,69.93293255,92,60,23
53,35,4.06,6.644205485,108.5054416,79,59,17
79,32,3.96,6.376651091,78.96159541,91,55,15
68,5,3.87,6.247040422,79.84925393,76,51,18
76,37,3.7,6.656730008,93.62039175,87,48,25
34,18,3.53,6.2048017,85.75692395,71,60,22
28,0,3.34,6.158860284,82.34162918,90,57,24
62,36,2.96,6.385684214,108.7603001,67,35,22
88,27,2.58,6.417820493,70.23401597,60,54,19
1,23,2.74,6.381201909,65.50861389,83,58,23
25,0,2.9,6.877869005,98.73771338,83,57,19
40,2,2.88,7.485996067,88.55123143,40,72,77
77,22,2.86,6.920251378,79.92698081,23,72,84
66,22,2.99,5.996932037,68.54932919,39,58,85
52,21,3.12,6.391173589,88.51048983,22,72,85
84,34,3.08,7.152811172,79.26357665,36,67,77
26,7,3.05,5.988992796,92.68373702,32,73,81
38,34,3.1,6.231049028,74.6631118,58,70,84
48,24,3.16,7.550808267,82.61734721,59,70,84
12,20,3.52,7.010570541,81.84997529,42,62,75
51,0,3.87,8.753795334,81.98568791,28,74,81
83,26,3.7,8.718192847,93.55280105,58,66,79
64,3,3.52,7.976607593,74.58565097,43,66,79
35,10,3.5,6.515499549,78.96514709,58,63,81
81,17,3.48,8.490127142,80.7108745,23,62,85
47,15,3.6,6.576415562,70.18185181,27,62,77
18,40,3.72,6.481783043,71.58010169,28,72,84
54,40,3.88,7.966605025,73.50734019,50,56,76
60,18,4.05,8.140825437,82.52339655,39,71,84
20,38,4.17,7.228963452,66.96980581,25,78,76
39,16,4.29,6.492546046,90.46228334,31,70,77
19,17,4.14,7.528599957,71.31007253,26,80,83
61,16,3.98,7.701446446,85.74904898,25,68,77
40,28,3.94,8.519975748,89.31050665,31,78,76
37,4,3.9,6.620900869,85.52950164,60,68,83
61,14,3.86,8.104396058,72.94940441,59,62,83
70,8,3.82,6.204090835,72.32667516,22,67,78
40,43,3.78,6.051091339,74.87445574,36,65,80
84,6,3.74,7.690962338,94.70992037,59,60,84
60,30,3.86,7.829211144,83.74606679,54,77,85
5,29,3.99,6.761599706,78.92060234,43,68,81
8,25,4.12,6.654425315,83.75937135,28,76,82
58,44,4.24,6.129533877,76.57580954,42,79,85
1,27,4.5,8.829273328,91.76071648,32,60,83
65,7,4.75,8.621662982,76.32470713,22,78,76
50,35,4.79,8.204862075,89.73119396,31,79,75
2,15,4.83,6.18042747,93.35034262,28,58,81
28,17,5.22,7.978996755,81.20176515,57,58,77
56,13,5.61,7.863113671,81.70769297,49,55,78
35,29,6.22,6.967843048,83.74879344,46,76,77
16,8,6.82,6.206582193,77.5429424,54,61,77
90,7,7.38,8.868741443,77.92798682,38,60,76
33,44,7.93,8.766128654,82.2545577,59,55,79
40,38,8.25,8.736337905,70.52056697,36,76,75
75,15,8.56,8.081095263,72.78624223,57,68,81
43,41,9.15,6.138243973,85.24819851,35,66,81
87,15,9.74,7.496645259,85.37378769,35,64,78
90,44,9.64,8.380185271,75.6317566,52,60,79
67,27,9.54,6.289614016,89.61857826,27,76,83
83,24,10.34,6.586777189,75.49101167,57,60,84
85,12,11.15,6.89655198,86.05078037,52,68,78
62,23,11.73,7.806747656,80.25064637,43,79,79
88,38,12.3,7.150681303,78.26039559,44,74,85
10,30,13.09,6.64919573,75.57790384,24,55,78
20,39,13.88,7.778591618,72.9446671,29,77,75
62,12,14.36,6.358740355,90.7760707,20,60,78
50,26,14.83,8.255450758,77.81891424,56,67,78
35,45,14.93,6.456148474,78.06910795,37,66,85
83,20,15.04,6.613072145,85.57925437,49,71,76
5,0,15.08,8.165359297,69.40619137,59,69,80
27,12,15.12,7.64867466,76.32565249,20,79,77
34,21,15.58,6.545888558,80.6405403,24,56,85
32,3,16.05,7.104224797,80.1113384,51,72,75
30,28,16.13,7.358099622,91.94595352,57,73,85
63,8,16.22,6.4740245,87.51312796,22,64,82
61,20,15.56,7.840339389,94.00287214,52,73,79
60,36,14.89,7.064790365,88.4585692,29,75,75
54,24,14.34,7.599033472,84.78344008,44,59,78
71,26,13.78,6.715587232,68.97806542,41,69,82
14,45,13.56,6.81712422,88.68168643,52,56,85
39,15,13.34,7.985417393,65.23811143,34,76,80
40,37,13.36,7.545258424,65.78042032,42,74,83
50,1,13.38,7.728998197,74.63872762,34,71,79
73,9,13.32,7.354973451,82.69766829,27,73,79
37,41,13.25,7.313122235,69.64449182,30,70,79
43,0,14.4,7.785039076,87.27444866,57,57,75
76,29,15.54,6.307004923,70.87150577,27,79,82
53,36,16.4,6.403982316,92.06630306,32,71,85
71,9,17.26,7.599279991,79.20509212,31,76,82
26,9,18.12,7.217018459,68.81405149,33,75,84
12,41,18.26,7.561108006,72.85017344,47,80,77
67,13,18.41,7.489545074,79.45758333,54,62,80
17,45,18.22,6.609696734,65.11365631,47,79,78
26,38,18.02,7.476800943,80.4986291,35,57,83
78,39,17.3,7.325451279,73.64476535,53,73,77
30,27,16.58,6.489389282,81.5284269,45,61,78
20,5,16.43,7.786366322,88.6810311,37,78,79
79,28,16.29,6.408437886,68.4951189,30,75,81
40,17,16.19,8.423873703,78.44910564,37,55,82
10,11,16.09,8.719960893,77.33795356,53,65,76
84,8,15.62,7.811997977,94.78189594,22,60,85
11,8,15.14,6.317153205,94.03659867,60,61,78
63,28,14.94,7.114405288,78.69707199,42,67,77
40,2,14.75,8.135900726,69.15759062,39,76,76
33,37,14.77,7.714153038,90.82097601,35,63,76
75,11,14.79,7.103798069,76.77888672,30,65,82
24,30,15.1,8.861479668,67.9545435,57,56,78
65,15,15.41,7.861128148,73.0926704,48,65,78
35,25,15.27,7.4526709,69.09512477,36,56,83
44,15,15.13,7.168096055,89.60982451,40,58,75
39,1,15.57,7.26311855,81.78710463,49,69,82
13,35,16,5.68597166,128.256862,13,60,25
20,45,18.12,5.759237003,106.3598183,25,70,16
82,0,20.25,5.873171894,109.225556,31,55,22
72,5,20.45,5.926676985,140.3717815,40,64,16
56,30,20.65,5.95561668,76.64128258,2,61,20
14,44,21.04,5.949949081,143.0984171,26,65,22
25,10,21.44,5.789214289,60.91974792,17,57,21
13,6,20.72,5.581021521,104.7783947,26,80,18
43,43,19.99,5.689858133,132.9801054,17,59,17
62,1,19.48,5.794158504,130.0608093,27,59,22
56,36,18.97,5.748190463,143.7630894,28,58,24
60,10,18.12,5.566522896,87.99669731,25,57,19
89,7,17.26,5.809419584,144.1567454,28,80,17
46,23,16.78,5.887263027,134.3649948,25,60,22
8,29,16.31,5.99812453,88.06638775,12,78,23
13,10,16.06,5.792744849,69.63833855,6,77,25
55,35,15.82,5.912289889,116.5206923,22,79,17
65,27,16.02,5.788386951,86.21917578,27,80,15
34,33,16.22,5.728233081,137.1948633,10,55,23
55,17,16.61,5.833940084,108.3684316,23,65,20
32,10,17,5.967533236,67.71768947,19,78,16
60,38,17.4,5.625096446,144.7902323,19,65,25
80,21,17.8,5.515615023,69.44951585,22,70,19
22,16,18.58,5.954665349,121.9401369,37,64,22
2,21,19.35,5.74644777,82.68554379,11,71,17
31,8,20.23,5.877347515,139.7521543,18,79,20
59,11,21.1,5.979973965,108.3441414,21,63,17
27,6,20.2,5.635993966,96.77285817,24,80,22
42,40,19.31,5.635231778,100.6711761,34,60,22
19,31,19.27,5.679224346,87.0513289,16,75,21
37,43,19.23,5.670062975,64.19497947,17,77,23
17,16,19.92,5.724242065,105.4120514,37,72,18
42,22,20.61,5.811314232,61.13872036,40,73,20
90,39,20.76,5.783425416,106.158201,9,77,17
27,9,20.92,5.607808432,139.0302034,1,62,23
12,1,20.92,5.946999529,122.3886015,33,59,22
26,13,20.92,5.852046999,129.5650601,23,59,19
35,19,21.41,5.824090984,120.4509288,6,62,22
84,45,21.9,5.502999119,95.17028129,25,63,20
44,43,22.01,5.821649914,96.65888933,7,79,23
90,28,22.12,5.711439256,87.87869161,8,72,17
6,15,22.5,5.514927264,138.2362122,27,64,15
70,23,22.88,5.99616119,120.6913038,28,66,23
76,18,23.25,5.695422863,107.3850593,32,57,18
7,3,23.63,5.833010958,108.6434544,27,56,22
87,12,23.19,5.568456899,109.0193712,17,77,24
86,33,22.74,5.645435626,95.84253438,0,65,15
64,28,22.3,5.821194486,60.27552528,13,72,21
15,38,21.86,5.659254981,100.0497183,34,60,23
18,44,22.1,5.945465949,125.0972687,9,80,19
50,24,22.33,5.951177452,113.334026,11,72,20
36,11,22.6,5.520880014,103.2926407,3,67,24
81,32,22.88,5.578410206,75.45328039,35,69,23
66,38,23.15,5.608165195,62.21292186,3,77,25
86,4,23.42,5.609435128,98.77794225,23,62,19
5,0,23.38,5.509295379,107.6907964,22,71,17
85,28,23.34,5.902033406,63.38208822,31,79,25
14,12,23.66,5.744117663,87.66898664,34,59,18
32,34,23.99,5.717143397,138.414764,12,63,17
3,42,24.31,5.542690119,94.9533526,27,56,20
20,19,25.28,5.858617867,107.7315386,7,63,24
53,12,26.25,5.618844277,104.6252153,24,67,22
9,34,26.8,5.606620346,141.6056722,11,71,24
6,32,27.36,5.582178402,62.7089169,37,74,15
79,8,28.08,5.56503533,135.3315583,25,76,24
76,39,28.79,5.889614577,125.084915,34,66,17
77,23,29.61,5.934136378,107.4137246,20,69,15
63,45,30.43,5.683548308,63.59276673,37,65,16
3,5,30.62,5.70836603,146.4727237,18,74,15
40,3,30.8,5.948164454,119.6404412,4,67,25
31,20,29.96,5.774755144,126.7265372,37,56,25
90,5,29.13,5.97229163,134.1811718,5,59,15
8,27,28.95,5.532100554,135.3378033,11,61,21
37,1,28.77,5.669560726,100.118612,22,80,20
22,4,28.24,5.655726817,68.51253427,12,61,19
70,30,27.7,5.591704014,66.97053257,5,74,21
84,32,27.26,5.932323085,69.14681022,27,69,22
29,39,26.83,5.824208309,88.88796102,31,75,18
18,15,26.9,5.86442953,81.83420522,36,68,20
82,11,26.98,5.866744372,109.1013261,5,65,16
86,29,27.06,5.706198621,81.60211243,32,79,15
12,21,27.13,5.940546818,112.6616435,11,78,22
64,11,26.56,5.916779289,143.8584938,0,55,22
16,20,25.98,5.779090476,146.4548645,14,59,15
47,9,25.23,5.82738029,116.7324324,29,68,23
51,16,24.48,5.514234138,149.7441028,32,68,19
5,5,23.94,5.662699104,124.6118471,17,64,17
90,19,23.4,5.86390397,115.199245,13,69,19
32,0,22.37,5.624690248,84.64143632,14,67,22
16,22,21.34,5.591560999,129.3449326,9,69,20
42,30,20.3,5.976312538,130.3900798,20,73,22
86,32,19.27,5.669236258,80.15293435,40,78,20
86,9,18.02,5.961934481,64.02640797,27,72,23
80,3,16.76,5.690065688,139.2921004,14,67,15
58,43,15.44,5.698371311,76.14153904,7,56,18
90,37,14.13,5.59503163,73.36386477,27,65,18
78,44,13.18,5.525904526,100.5978728,30,63,16
38,26,12.22,5.819403771,84.06354115,37,70,25
39,23,11.43,5.562201934,133.1914419,27,63,19
9,8,10.64,5.630664753,104.2570723,22,60,24
73,37,9.84,6.03160778,122.6539694,3,72,24
77,0,9.03,5.269084669,163.7266551,40,59,23
16,17,8.72,5.985792703,103.3301803,33,73,23
56,37,8.41,6.09186275,142.3303677,27,57,24
8,4,8.38,5.624731338,184.6226709,10,79,18
27,45,8.34,6.446091759,149.299952,30,75,25
29,8,8.3,5.623490043,147.0361442,40,70,20
17,10,8.27,5.864623352,198.8298806,38,55,19
60,43,7.94,5.761702519,90.05422663,35,58,20
20,15,7.6,4.696518678,127.7767134,38,61,21
82,43,7.26,5.269504214,108.6333046,33,58,24
59,25,6.91,7.445444883,176.6165894,16,56,17
46,13,6.69,5.833031708,96.36222901,31,72,17
35,37,6.46,7.339320929,122.0146733,16,80,20
67,39,6.24,6.347929353,120.7435664,27,72,17
76,37,6.02,4.697750704,96.51524028,40,62,19
2,45,5.68,4.962661422,180.382234,18,58,16
20,30,5.33,4.964887857,107.4721605,3,68,16
36,29,5.12,5.642813116,161.4812963,26,67,24
86,24,4.92,5.6093956,121.5639121,16,70,20
7,5,4.72,4.681576043,194.5921148,24,63,19
82,34,4.53,5.70951224,179.2155874,9,76,25
20,27,4.32,6.413543781,192.4372194,16,55,19
65,27,4.11,6.007508163,114.2821387,28,75,21
32,11,4.11,4.946369874,139.6483317,16,71,24
72,7,4.11,5.517208078,132.7748215,24,70,21
73,44,4.08,5.902103172,186.5008581,38,72,21
8,32,4.05,5.719889876,157.0858232,9,66,21
7,31,3.86,4.548202098,139.6702541,34,56,17
58,17,3.67,6.669529416,177.3377996,1,76,19
68,12,3.66,4.750929218,94.46748008,6,69,19
65,37,3.66,4.946263888,161.7820226,26,73,21
31,37,3.56,5.266227032,108.5090168,27,61,18
54,42,3.45,7.10959773,150.8712202,27,71,23
12,32,3.29,5.617008201,168.5948318,36,61,21
78,37,3.13,5.632353113,197.3752649,17,73,18
72,16,3.02,4.674941549,91.72084869,26,72,22
17,33,2.91,7.161797643,180.716828,17,64,16
11,41,2.93,6.624966131,93.12330644,14,74,19
64,9,2.95,5.004074624,116.9106908,39,60,15
72,44,2.76,6.345806011,159.2649827,6,66,15
22,18,2.58,6.216814453,187.8961851,8,59,18
36,38,2.76,5.921666758,129.0064612,2,67,18
18,17,2.94,6.012719118,147.0414824,1,76,17
84,42,3.16,4.684079249,163.2747473,16,73,19
21,45,3.38,7.077170002,91.31256412,23,75,25
56,20,3.64,6.208843215,195.5697875,32,70,20
73,4,3.91,7.05181629,170.9919828,28,59,22
79,21,3.63,4.722222454,145.3728801,5,62,23
56,27,3.35,6.418062652,136.0456753,36,67,25
82,43,3.38,4.803564468,173.1686574,1,66,23
77,42,3.41,4.608695247,176.4134092,24,73,20
79,16,3.35,5.611510977,129.2028653,17,67,18
10,44,3.29,7.322097972,126.6738117,5,55,18
57,6,3.23,5.023115055,188.4928637,5,56,24
68,17,3.17,5.617122801,191.0658531,37,77,17
46,1,3.02,5.391560418,162.5927723,13,73,20
83,16,2.88,5.906596905,160.3337447,6,63,23
26,23,3.16,6.574209678,100.546816,16,77,22
78,24,3.43,4.807776749,105.0380275,25,64,20
7,29,3.4,4.760038039,192.3023991,34,75,24
48,2,3.37,5.180271502,148.2502786,20,77,23
34,0,3.49,4.895927306,197.1144011,35,80,25
48,3,3.6,6.436160044,118.3606557,14,75,24
5,27,3.53,7.066087261,100.4673278,36,80,21
15,36,3.46,6.655918078,191.0895109,7,77,18
48,2,3.39,5.982854523,195.787103,29,78,25
48,41,3.32,5.457871273,182.2688175,30,60,21
74,24,3.34,4.759490199,159.8938645,20,74,16
10,42,3.36,7.342409555,141.1250722,19,57,23
23,0,3.13,4.820788186,100.7791633,3,60,19
35,3,2.9,6.242052013,175.9303271,5,77,19
74,3,3.06,5.001038726,139.8710041,5,68,20
17,16,3.21,5.560224583,189.5208915,37,73,21
37,4,3.3,4.747352458,137.2279662,9,59,24
77,6,3.39,7.313517308,134.8596466,20,72,15
44,2,3.53,5.661826398,174.5723999,31,56,23
62,8,3.66,4.672437054,101.6073988,0,70,21
70,24,3.35,6.471862118,153.2504506,21,74,15
19,2,3.04,5.384762927,177.5764304,13,67,18
9,44,3.22,5.859813416,91.95792434,27,74,20
50,35,3.41,6.962386495,162.5931264,29,72,24
65,41,3.6,6.12166671,155.3705624,5,68,20
9,24,3.78,6.421748487,165.4113371,39,57,19
42,10,3.68,4.828936119,180.9009998,22,62,16
22,17,3.58,6.98571967,136.8274312,18,55,23
57,17,3.49,4.603563116,159.689339,39,77,21
25,44,3.39,6.979540061,178.8998611,13,75,20
25,34,3.4,7.064973419,165.405354,27,71,24
16,16,3.4,5.16516459,109.1821183,26,64,22
79,45,3.4,5.111488821,185.2039114,23,55,16
84,7,3.41,5.374358869,149.063196,4,69,19
2,31,3.42,5.671419084,180.6465282,20,67,19
33,26,3.42,5.667419697,96.74706956,7,74,17
80,29,3.42,6.07938452,124.6028153,17,64,18
86,34,3.43,6.931924963,198.1403003,35,71,17
30,24,3.66,6.842744374,172.40168,11,72,22
86,27,3.89,6.876572503,186.9226052,20,60,22
1,18,4.12,6.151029296,173.1106982,10,71,18
45,7,4.34,4.567446499,122.4564203,33,61,24
53,6,4.57,3.692863601,32.67891866,3,49,18
39,34,4.8,4.371745575,36.5037914,22,59,23
2,20,5.4,8.399135958,36.92629678,36,58,25
50,23,6,8.840656256,72.98016599,4,43,18
41,5,5.78,8.153022903,32.05025323,29,54,16
76,7,5.56,5.270749441,71.6266696,32,43,22
11,7,5.58,8.050304395,73.44775287,14,55,15
59,5,5.61,9.679240873,66.35634104,5,35,20
80,43,5.9,6.974978386,36.94255012,25,57,24
21,36,6.19,7.39389918,61.32935611,11,53,24
37,16,6.48,6.68727523,53.56783314,40,49,17
20,35,6.77,7.88118645,67.43488235,38,56,25
74,7,7.57,5.875333778,44.94317432,27,43,23
52,19,8.37,8.202706015,34.96933295,24,38,22
17,26,8.67,8.985348193,74.44330654,23,45,21
20,37,8.97,5.87707519,53.39249517,29,57,20
31,2,8.16,7.707595055,68.04039813,31,35,23
5,43,7.35,4.524171562,45.78172762,0,55,25
61,1,6.88,9.926212291,74.32635105,7,45,22
70,35,6.41,6.455592696,32.76742894,17,58,25
62,28,6.67,8.016210782,35.1051197,11,44,17
55,40,6.93,3.71105919,72.66666443,22,49,22
65,14,7.48,5.49091063,48.25207759,9,51,19
83,33,8.02,9.254089438,40.89732789,28,48,15
52,7,8.32,6.005242945,32.55919573,26,50,19
40,44,8.63,7.437078236,31.87416982,36,56,20
87,0,8.72,3.808429173,53.1205277,8,60,18
77,17,8.81,5.818219385,62.74803826,24,37,21
74,7,9,4.52363558,46.19374559,22,43,24
36,14,9.18,3.510404312,41.53749535,36,43,24
3,1,9.11,6.030447288,58.99536268,22,44,24
12,42,9.04,5.498340808,41.0550915,17,43,22
54,26,8.93,4.61136408,33.84110759,8,45,15
32,45,8.81,5.545219232,55.50429227,7,56,23
28,24,8.85,8.292875734,57.02891698,36,57,16
89,41,8.88,3.828031463,44.11622138,11,45,19
60,21,9.12,8.869532817,42.24783476,6,36,22
